네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
화장품/미용 > 향수 > 여성향수
화장품/미용 > 향수 > 남성향수
조회기간 : 2022.06.10. ~ 2022.07.10. 일간
기기별 : 전체
성별 : 여성
연령별 : 20대

"날짜","여성향수","남성향수"
"2019-09-12",57,7
"2019-09-13",57,8
"2019-09-14",71,9
"2019-09-15",84,11
"2019-09-16",77,11
"2019-09-17",77,11
"2019-09-18",69,9
"2019-09-19",63,9
"2019-09-20",58,8
"2019-09-21",59,7
"2019-09-22",70,9
"2019-09-23",68,10
"2019-09-24",64,9
"2019-09-25",65,10
"2019-09-26",59,9
"2019-09-27",52,7
"2019-09-28",57,7
"2019-09-29",63,9
"2019-09-30",68,9
"2019-10-01",72,10
"2019-10-02",63,9
"2019-10-03",64,9
"2019-10-04",63,8
"2019-10-05",61,8
"2019-10-06",71,10
"2019-10-07",70,10
"2019-10-08",60,8
"2019-10-09",66,9
"2019-10-10",67,10
"2019-10-11",61,7
"2019-10-12",63,7
"2019-10-13",66,8
"2019-10-14",64,9
"2019-10-15",60,9
"2019-10-16",59,9
"2019-10-17",56,8
"2019-10-18",54,8
"2019-10-19",55,6
"2019-10-20",61,7
"2019-10-21",63,9
"2019-10-22",60,8
"2019-10-23",57,8
"2019-10-24",58,8
"2019-10-25",50,7
"2019-10-26",55,8
"2019-10-27",65,9
"2019-10-28",62,9
"2019-10-29",64,10
"2019-10-30",60,9
"2019-10-31",56,8
"2019-11-01",67,9
"2019-11-02",67,10
"2019-11-03",71,11
"2019-11-04",75,12
"2019-11-05",73,12
"2019-11-06",72,11
"2019-11-07",68,11
"2019-11-08",61,9
"2019-11-09",60,9
"2019-11-10",70,12
"2019-11-11",76,14
"2019-11-12",70,12
"2019-11-13",65,10
"2019-11-14",56,9
"2019-11-15",56,9
"2019-11-16",59,8
"2019-11-17",67,9
"2019-11-18",71,11
"2019-11-19",63,10
"2019-11-20",63,10
"2019-11-21",59,9
"2019-11-22",58,8
"2019-11-23",58,7
"2019-11-24",71,10
"2019-11-25",78,11
"2019-11-26",70,10
"2019-11-27",81,10
"2019-11-28",64,9
"2019-11-29",61,8
"2019-11-30",62,8
"2019-12-01",82,10
"2019-12-02",87,12
"2019-12-03",80,11
"2019-12-04",75,11
"2019-12-05",71,12
"2019-12-06",68,10
"2019-12-07",71,9
"2019-12-08",84,13
"2019-12-09",73,13
"2019-12-10",77,13
"2019-12-11",73,13
"2019-12-12",71,11
"2019-12-13",62,9
"2019-12-14",63,11
"2019-12-15",75,13
"2019-12-16",76,15
"2019-12-17",72,14
"2019-12-18",72,15
"2019-12-19",65,14
"2019-12-20",60,12
"2019-12-21",64,12
"2019-12-22",75,14
"2019-12-23",67,15
"2019-12-24",58,13
"2019-12-25",65,12
"2019-12-26",67,12
"2019-12-27",58,9
"2019-12-28",60,8
"2019-12-29",67,9
"2019-12-30",60,10
"2019-12-31",52,9
