title
"LGU+, 인터파크 여행·공연·스포츠 티켓 구매하면 혜택 준다"
"울산음악창작소, 11월까지 지역음악인 '순위진입단' 공연"
"""K팝 공연+한국 여행, 관광산업 새 수익모델 주목해야"""
"[거창소식] 거창윈드오케스트라, 공연장 육성사업에 선정 등"
"전진선 양평군수, “문화예술공연 활성화 위한 지원 아끼지 않겠다”"
"세종국악관현악단, '무장애 문화향유 활성화 지원사업' 협력단체 참여"
"남해군, 도시재생 사업지서 버스킹 공연"
'전주사회적기업 제품·공연' 만남 시민장터…29일부터 11월까지
"[Pangyo Game & Contents] 멜론, 인디음악 활성화 라이브 공연 '트랙제로 Alive' 론칭"
"사천문화재단, '판페라, 소리의 서막을 열다' 공연…22~23일"
"영동교육청, 찾아가는 문화·예술공연 '소확행' 프로그램 운영"
이사벨 재능기부…한국·베트남 수교 30주년 기념 축하 공연 나선다
"한국문화정보원 문화 포털, 공연시장 활성화 위한 ‘전주티켓박스’ 소개"
"국기원 태권도시범단, 청와대서 상설 시범공연 펼친다"
김병수 김포시장 “민선8기 핵심 교통·소통 활성화할 것”
"부코페, 3년만에 돌아온 '코미디 스트리트'…인디 공연 활성화"
"양평군, 찾아가는 문화활동 공연 활발히 추진중"
"순천문화재단, 민간 공연·전시 활성화 지원"
지역 문화예술인에 무대를… ‘부산공연콘텐츠페스타’ 신설
"목포해상W쇼, 주1회로 축소…16일부터 토요일만 공연"
"경남문화예술회관, 팔도보부상 '이야기보따리' 공연 개최"
"국내 첫 '미디어아트와 아이스쇼 만남' 공연, 내달 강릉서 선봬"
"'오징어게임' 오영수·'스우파' 모니카, 한국 공연관광 알린다"
"다시 ‘공연관광’… 관광공사, ‘Re:Boot! 대학로’ 개최"
"서초구, 소공연장-문화예술인 연계 '클래식다방' 10월까지 운영"
"현대카드-야놀자, PLCC 파트너십 체결…""숙박·레저·공연 혜택 총망라"""
"대학로 중심 공연관광 활성화..홍보대사에 오영수, 모니카"
"오영수·모니카, 한국 공연관광 세계화에 나선다"
"[부안소식] 부안 줄포상설시장, 장날 문화공연 개최 상권활성화 추진 외"
"침체 늪 빠진 양산 증산신도시, 특화거리 대상지 선정으로 상권 활성화 구원군될까?"
문경상권활성화재단 ‘점촌점빵길축제’ 개최
