Domain,Area,Element,Item,Year,Value
"Forestry Production and Trade","Oceania","Export Quantity","Sawnwood, non-coniferous all","2020","119155"
"Forestry Production and Trade","Oceania","Export Value","Sawnwood, non-coniferous all","2018","62381"
"Forestry Production and Trade","Oceania","Export Value","Sawnwood, non-coniferous all","2019","74340"
"Forestry Production and Trade","Oceania","Export Value","Sawnwood, non-coniferous all","2020","58507"
"Forestry Production and Trade","Oceania","Production","Plywood","2018","582868"
"Forestry Production and Trade","Oceania","Production","Plywood","2019","582868"
"Forestry Production and Trade","Oceania","Production","Plywood","2020","496000"
"Forestry Production and Trade","Oceania","Import Quantity","Plywood","2018","698948"
"Forestry Production and Trade","Oceania","Import Quantity","Plywood","2019","565773"
"Forestry Production and Trade","Oceania","Import Quantity","Plywood","2020","627367"
"Forestry Production and Trade","Oceania","Import Value","Plywood","2018","399275"
"Forestry Production and Trade","Oceania","Import Value","Plywood","2019","372075"
"Forestry Production and Trade","Oceania","Import Value","Plywood","2020","351085"
"Forestry Production and Trade","Oceania","Export Quantity","Plywood","2018","77745"
"Forestry Production and Trade","Oceania","Export Quantity","Plywood","2019","71931"
"Forestry Production and Trade","Oceania","Export Quantity","Plywood","2020","46441"
"Forestry Production and Trade","Oceania","Export Value","Plywood","2018","46902"
"Forestry Production and Trade","Oceania","Export Value","Plywood","2019","41893"
"Forestry Production and Trade","Oceania","Export Value","Plywood","2020","35016"
"Forestry Production and Trade","Oceania","Production","Particle board","2018","1117124"
"Forestry Production and Trade","Oceania","Production","Particle board","2019","1104675"
"Forestry Production and Trade","Oceania","Production","Particle board","2020","1089675"
"Forestry Production and Trade","Oceania","Import Quantity","Particle board","2018","116549"
"Forestry Production and Trade","Oceania","Import Quantity","Particle board","2019","125427"
"Forestry Production and Trade","Oceania","Import Quantity","Particle board","2020","74000"
"Forestry Production and Trade","Oceania","Import Value","Particle board","2018","39796"
"Forestry Production and Trade","Oceania","Import Value","Particle board","2019","40669"
"Forestry Production and Trade","Oceania","Import Value","Particle board","2020","26622"
"Forestry Production and Trade","Oceania","Export Quantity","Particle board","2018","79843"
"Forestry Production and Trade","Oceania","Export Quantity","Particle board","2019","86819"
"Forestry Production and Trade","Oceania","Export Quantity","Particle board","2020","61894"
"Forestry Production and Trade","Oceania","Export Value","Particle board","2018","27382"
"Forestry Production and Trade","Oceania","Export Value","Particle board","2019","24318"
"Forestry Production and Trade","Oceania","Export Value","Particle board","2020","21198"
