"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2006년 7월","73,100","80,500","80,600","68,100","20.23M","-9.31%"
"2006년 6월","80,600","72,600","81,200","70,200","25.40M","9.66%"
"2006년 5월","73,500","81,500","85,400","73,500","25.88M","-11.34%"
"2006년 4월","82,900","81,700","91,100","80,300","24.36M","1.47%"
"2006년 3월","81,700","83,900","85,100","78,000","18.57M","-1.68%"
"2006년 2월","83,100","86,100","86,900","78,100","23.52M","-4.70%"
"2006년 1월","87,200","98,100","98,900","83,600","28.17M","-10.38%"
"2005년 12월","97,300","85,300","100,500","84,400","22.04M","13.67%"
"2005년 11월","85,600","76,700","86,500","76,600","19.69M","11.75%"
"2005년 10월","76,600","81,500","82,200","72,400","22.05M","-6.01%"
"2005년 9월","81,500","71,500","83,300","71,200","24.66M","15.28%"
"2005년 8월","70,700","71,000","74,400","67,200","20.94M","-0.56%"
"2005년 7월","71,100","57,900","71,200","57,600","27.27M","23.65%"
"2005년 6월","57,500","56,400","60,000","56,100","16.52M","1.41%"
"2005년 5월","56,700","53,900","57,700","50,600","20.67M","5.19%"
"2005년 4월","53,900","54,500","58,300","52,100","18.95M","-2.00%"
"2005년 3월","55,000","58,500","59,300","53,500","30.95M","-5.01%"
"2005년 2월","57,900","57,600","58,800","55,100","29.49M","-0.52%"
"2005년 1월","58,200","55,500","61,000","53,500","22.77M","4.86%"
