 본부명 , 지사명 , 노선명 , 구간 , 방 향 , 5km , 발생건수 ,위도,경도
 대전충남 , 천안 , 경부선 ,315~320, 부산 ,315, 3 ,36.7044544,127.3472224
 대전충남 , 천안 , 경부선 ,320~325, 부산 ,320, 4 ,36.7264483,127.3085103
 대전충남 , 천안 , 경부선 ,325~330, 부산 ,325, 5 ,36.7345899,127.2563955
 대전충남 , 천안 , 경부선 ,335~340, 부산 ,335, 3 ,36.7820643,127.1747598
 대전충남 , 천안 , 경부선 ,340~345, 부산 ,340, 5 ,36.8254311,127.1681066
 대전충남 , 천안 , 경부선 ,325~330, 서울 ,325, 3 ,36.7345899,127.2563955
 전북 , 논산 , 호남지선 ,25~30, 논산 ,25, 4 ,36.2269574,127.2749890
 전북 , 무주 , 중부선 ,145~150, 통영 ,145, 3 ,35.8031469,127.6379344
 전북 , 보령 , 서해안선 ,155~160, 목포 ,155, 4 ,36.0705525,126.7431945
 전북 , 보령 , 서해안선 ,170~175, 목포 ,170, 4 ,36.1478478,126.6208259
 전북 , 보령 , 서해안선 ,180~185, 목포 ,180, 4 ,36.2267079,126.5699130
 전북 , 보령 , 서해안선 ,200~205, 목포 ,200, 4 ,36.3871607,126.5552914
 전북 , 보령 , 서해안선 ,205~210, 목포 ,205, 3 ,36.4268359,126.5767559
 전북 , 보령 , 서해안선 ,220~225, 목포 ,220, 3 ,36.5586954,126.5794765
 전북 , 보령 , 서해안선 ,220~225, 서울 ,220, 3 ,36.5586954,126.5794765
 전북 , 부여 , 서천공주선 ,20~25, 공주 ,20, 5 ,36.2167446,126.7772633
 전북 , 부여 , 서천공주선 ,25~30, 공주 ,25, 3 ,36.2578517,126.7980863
 전북 , 부여 , 서천공주선 ,40~45, 공주 ,40, 3 ,36.3532524,126.9134826
 광주전남 , 남원 , 광주대구선 ,30~35, 광주 ,30, 3 ,35.3629986,127.1369875
 광주전남 , 남원 , 광주대구선 ,45~50, 광주 ,45, 3 ,35.3936382,127.2893840
 광주전남 , 남원 , 광주대구선 ,90~95, 대구 ,90, 3 ,35.5433140,127.6965106
 광주전남 , 순천 , 남해선 ,5~10, 순천 ,5, 3 ,34.9903282,127.5283704
 광주전남 , 순천 , 호남선 ,35~40, 순천 ,35, 3 ,35.1753033,127.2445460
 광주전남 , 함평 , 무안광주선 ,5~10, 광주 ,5, 4 ,35.0158235,126.4391644
 광주전남 , 함평 , 무안광주선 ,10~15, 광주 ,10, 4 ,35.0303250,126.4896234
