"시점","기관별(1)","기관별(2)",멸종위기류별(1),데이터
"2018","국립공원내 멸종위기종","소계",식물,52
"2018","국립공원내 멸종위기종","소계",포유류,12
"2018","국립공원내 멸종위기종","소계",조류,54
"2018","국립공원내 멸종위기종","소계",양서류,2
"2018","국립공원내 멸종위기종","소계",파충류,4
"2018","국립공원내 멸종위기종","소계",어류,12
"2018","국립공원내 멸종위기종","소계",곤충,24
"2018","국립공원내 멸종위기종","소계",저서성대형 무척추동물,14
"2018","국립공원내 멸종위기종","소계",고등균류,1
"2018","국립공원내 멸종위기종","Ⅰ급",계,37
"2018","국립공원내 멸종위기종","Ⅰ급",식물,7
"2018","국립공원내 멸종위기종","Ⅰ급",포유류,7
"2018","국립공원내 멸종위기종","Ⅰ급",조류,10
"2018","국립공원내 멸종위기종","Ⅰ급",파충류,1
"2018","국립공원내 멸종위기종","Ⅰ급",어류,4
"2018","국립공원내 멸종위기종","Ⅰ급",곤충,6
"2018","국립공원내 멸종위기종","Ⅰ급",저서성대형 무척추동물,2
"2018","국립공원내 멸종위기종","Ⅱ급",계,138
"2018","국립공원내 멸종위기종","Ⅱ급",식물,45
"2018","국립공원내 멸종위기종","Ⅱ급",포유류,5
"2018","국립공원내 멸종위기종","Ⅱ급",조류,44
"2018","국립공원내 멸종위기종","Ⅱ급",양서류,2
"2018","국립공원내 멸종위기종","Ⅱ급",파충류,3
"2018","국립공원내 멸종위기종","Ⅱ급",어류,8
"2018","국립공원내 멸종위기종","Ⅱ급",곤충,18
"2018","국립공원내 멸종위기종","Ⅱ급",저서성대형 무척추동물,12
"2018","국립공원내 멸종위기종","Ⅱ급",고등균류,1
"2019","환경부지정 멸종위기종","소계",계,267
"2019","환경부지정 멸종위기종","소계",식물,88
"2019","환경부지정 멸종위기종","소계",포유류,20
"2019","환경부지정 멸종위기종","소계",조류,63
"2019","환경부지정 멸종위기종","소계",양서류,4
"2019","환경부지정 멸종위기종","소계",파충류,4
"2019","환경부지정 멸종위기종","소계",어류,27
"2019","환경부지정 멸종위기종","소계",곤충,26
"2019","환경부지정 멸종위기종","소계",저서성대형 무척추동물,32
"2019","환경부지정 멸종위기종","소계",해조류,2
"2019","환경부지정 멸종위기종","소계",고등균류,1
"2019","국립공원내 멸종위기종","소계",계,175
"2019","국립공원내 멸종위기종","소계",식물,52
"2019","국립공원내 멸종위기종","소계",포유류,12
"2019","국립공원내 멸종위기종","소계",조류,54
"2019","국립공원내 멸종위기종","소계",양서류,2
"2019","국립공원내 멸종위기종","소계",파충류,4
"2019","국립공원내 멸종위기종","소계",어류,12
"2019","국립공원내 멸종위기종","소계",곤충,24
"2019","국립공원내 멸종위기종","소계",저서성대형 무척추동물,14
"2019","국립공원내 멸종위기종","소계",고등균류,1
"2019","국립공원내 멸종위기종","Ⅰ급",계,37
"2019","국립공원내 멸종위기종","Ⅰ급",식물,7
"2019","국립공원내 멸종위기종","Ⅰ급",포유류,7
"2019","국립공원내 멸종위기종","Ⅰ급",조류,10
"2019","국립공원내 멸종위기종","Ⅰ급",파충류,1
"2019","국립공원내 멸종위기종","Ⅰ급",어류,4
"2019","국립공원내 멸종위기종","Ⅰ급",곤충,6
"2019","국립공원내 멸종위기종","Ⅰ급",저서성대형 무척추동물,2
"2019","국립공원내 멸종위기종","Ⅱ급",계,138
"2019","국립공원내 멸종위기종","Ⅱ급",식물,45
"2019","국립공원내 멸종위기종","Ⅱ급",포유류,5
"2019","국립공원내 멸종위기종","Ⅱ급",조류,44
"2019","국립공원내 멸종위기종","Ⅱ급",양서류,2
"2019","국립공원내 멸종위기종","Ⅱ급",파충류,3
"2019","국립공원내 멸종위기종","Ⅱ급",어류,8
"2019","국립공원내 멸종위기종","Ⅱ급",곤충,18
"2019","국립공원내 멸종위기종","Ⅱ급",저서성대형 무척추동물,12
"2019","국립공원내 멸종위기종","Ⅱ급",고등균류,1
"2020","환경부지정 멸종위기종","소계",계,267
"2020","환경부지정 멸종위기종","소계",식물,88
"2020","환경부지정 멸종위기종","소계",포유류,20
"2020","환경부지정 멸종위기종","소계",조류,63
"2020","환경부지정 멸종위기종","소계",양서류,4
"2020","환경부지정 멸종위기종","소계",파충류,4
"2020","환경부지정 멸종위기종","소계",어류,27
"2020","환경부지정 멸종위기종","소계",곤충,26
"2020","환경부지정 멸종위기종","소계",저서성대형 무척추동물,32
"2020","환경부지정 멸종위기종","소계",해조류,2
"2020","환경부지정 멸종위기종","소계",고등균류,1
"2020","국립공원내 멸종위기종","소계",계,176
"2020","국립공원내 멸종위기종","소계",식물,53
"2020","국립공원내 멸종위기종","소계",포유류,12
"2020","국립공원내 멸종위기종","소계",조류,54
"2020","국립공원내 멸종위기종","소계",양서류,2
"2020","국립공원내 멸종위기종","소계",파충류,4
"2020","국립공원내 멸종위기종","소계",어류,12
"2020","국립공원내 멸종위기종","소계",곤충,24
"2020","국립공원내 멸종위기종","소계",저서성대형 무척추동물,14
"2020","국립공원내 멸종위기종","소계",고등균류,1
"2020","국립공원내 멸종위기종","Ⅰ급",계,37
"2020","국립공원내 멸종위기종","Ⅰ급",식물,7
"2020","국립공원내 멸종위기종","Ⅰ급",포유류,7
"2020","국립공원내 멸종위기종","Ⅰ급",조류,10
"2020","국립공원내 멸종위기종","Ⅰ급",파충류,1
"2020","국립공원내 멸종위기종","Ⅰ급",어류,4
"2020","국립공원내 멸종위기종","Ⅰ급",곤충,6
"2020","국립공원내 멸종위기종","Ⅰ급",저서성대형 무척추동물,2
"2020","국립공원내 멸종위기종","Ⅱ급",계,139
"2020","국립공원내 멸종위기종","Ⅱ급",식물,46
"2020","국립공원내 멸종위기종","Ⅱ급",포유류,5
"2020","국립공원내 멸종위기종","Ⅱ급",조류,44
"2020","국립공원내 멸종위기종","Ⅱ급",양서류,2
"2020","국립공원내 멸종위기종","Ⅱ급",파충류,3
"2020","국립공원내 멸종위기종","Ⅱ급",어류,8
"2020","국립공원내 멸종위기종","Ⅱ급",곤충,18
"2020","국립공원내 멸종위기종","Ⅱ급",저서성대형 무척추동물,12
"2020","국립공원내 멸종위기종","Ⅱ급",고등균류,1
