,201901월,201902월,201903월,201904월,201905월,201906월,201907월,201908월,201909월,201910월,201911월,201912월,202001월,202002월,202003월,202004월,202005월,202006월,202007월,202008월,202009월,202010월,202011월,202012월,202101월,202102월,202103월,202104월,202105월,202106월,202107월,202108월,202109월,202110월,202111월,202112월,202201월,202202월,202203월,202204월,202205월
원/달러,1112.7,1124.7,1135.1,1168.2,1190.9,1154.7,1183.1,1211.2,1196.2,1163.4,1181.2,1156.4,1191.8,1213.7,1217.4,1218.2,1238.5,1203,1191.3,1187.8,1169.5,1135.1,1106.5,1086.3,1118.8,1123.5,1131.8,1112.3,1110.9,1126.1,1150.3,1159.5,1184,1168.6,1187.9,1188.8,1205.5,1202.3,1212.1,1255.9,1237.2
엔/달러,108.8,110.8,110.7,111.4,108.9,107.7,108.5,106.3,107.8,108.7,109.5,109.1,109,108.9,108.4,106.6,107.2,107.7,104.4,105.7,105.6,104.3,103.9,103.3,104.5,106.2,110.7,108.8,109.7,110.5,109.6,109.8,111.9,113.5,113.2,115.1,115.4,115.5,121.8,130.2,127.8
원/100엔,1023,1015.5,1025.5,1048.8,1093.3,1072.2,1090.2,1139,1109.5,1070.5,1078.8,1059.8,1093.1,1114.8,1123.5,1143.3,1155.3,1116.6,1141.4,1124,1107.3,1088.8,1065.2,1051.2,1070.7,1058.4,1022.2,1022.4,1012.3,1019.3,1049.5,1055.9,1058.1,1029.4,1049.5,1032.5,1044.9,1040.9,995.5,964.3,967.8
