국가별,시점,적색지수
파키스탄,2020,0.85
파키스탄,2021,0.85
파키스탄,2022,0.85
필리핀,2000,0.75
필리핀,2001,0.75
필리핀,2002,0.74
필리핀,2003,0.74
필리핀,2004,0.74
필리핀,2005,0.73
필리핀,2006,0.73
필리핀,2007,0.72
필리핀,2008,0.72
필리핀,2009,0.72
필리핀,2010,0.71
필리핀,2011,0.71
필리핀,2012,0.71
필리핀,2013,0.7
필리핀,2014,0.7
필리핀,2015,0.7
필리핀,2016,0.69
필리핀,2017,0.69
필리핀,2018,0.68
필리핀,2019,0.68
필리핀,2020,0.68
필리핀,2021,0.67
필리핀,2022,0.67
카타르,2000,0.9
카타르,2001,0.9
카타르,2002,0.9
카타르,2003,0.89
카타르,2004,0.89
카타르,2005,0.88
카타르,2006,0.88
카타르,2007,0.87
카타르,2008,0.87
카타르,2009,0.87
카타르,2010,0.86
카타르,2011,0.86
카타르,2012,0.86
카타르,2013,0.85
카타르,2014,0.85
카타르,2015,0.84
카타르,2016,0.84
카타르,2017,0.84
카타르,2018,0.83
카타르,2019,0.83
카타르,2020,0.83
카타르,2021,0.82
카타르,2022,0.82
사우디아라비아,2000,0.95
사우디아라비아,2001,0.95
사우디아라비아,2002,0.95
사우디아라비아,2003,0.94
사우디아라비아,2004,0.94
사우디아라비아,2005,0.94
사우디아라비아,2006,0.94
사우디아라비아,2007,0.93
사우디아라비아,2008,0.93
사우디아라비아,2009,0.93
사우디아라비아,2010,0.93
사우디아라비아,2011,0.92
사우디아라비아,2012,0.92
사우디아라비아,2013,0.92
사우디아라비아,2014,0.92
사우디아라비아,2015,0.91
사우디아라비아,2016,0.91
사우디아라비아,2017,0.91
사우디아라비아,2018,0.91
사우디아라비아,2019,0.91
사우디아라비아,2020,0.9
사우디아라비아,2021,0.9
사우디아라비아,2022,0.9
싱가포르,2000,0.91
싱가포르,2001,0.9
싱가포르,2002,0.9
싱가포르,2003,0.9
싱가포르,2004,0.9
싱가포르,2005,0.9
싱가포르,2006,0.9
싱가포르,2007,0.9
싱가포르,2008,0.89
싱가포르,2009,0.89
싱가포르,2010,0.89
싱가포르,2011,0.89
싱가포르,2012,0.88
싱가포르,2013,0.88
싱가포르,2014,0.88
싱가포르,2015,0.87
싱가포르,2016,0.87
싱가포르,2017,0.86
싱가포르,2018,0.86
싱가포르,2019,0.86
싱가포르,2020,0.85
싱가포르,2021,0.85
싱가포르,2022,0.85
스리랑카,2000,0.64
스리랑카,2001,0.64
스리랑카,2002,0.63
스리랑카,2003,0.63
스리랑카,2004,0.63
스리랑카,2005,0.62
스리랑카,2006,0.62
스리랑카,2007,0.62
스리랑카,2008,0.61
스리랑카,2009,0.61
스리랑카,2010,0.61
스리랑카,2011,0.6
스리랑카,2012,0.6
스리랑카,2013,0.6
스리랑카,2014,0.59
스리랑카,2015,0.59
스리랑카,2016,0.58
스리랑카,2017,0.58
스리랑카,2018,0.58
스리랑카,2019,0.57
스리랑카,2020,0.57
스리랑카,2021,0.56
스리랑카,2022,0.56
시리아,2000,0.94
시리아,2001,0.94
시리아,2002,0.94
시리아,2003,0.94
시리아,2004,0.94
시리아,2005,0.94
시리아,2006,0.94
시리아,2007,0.94
시리아,2008,0.94
시리아,2009,0.94
시리아,2010,0.94
시리아,2011,0.94
시리아,2012,0.94
시리아,2013,0.94
시리아,2014,0.94
시리아,2015,0.94
시리아,2016,0.94
시리아,2017,0.94
시리아,2018,0.94
시리아,2019,0.94
시리아,2020,0.94
시리아,2021,0.94
시리아,2022,0.94
태국,2000,0.83
태국,2001,0.83
태국,2002,0.83
태국,2003,0.83
태국,2004,0.82
태국,2005,0.82
태국,2006,0.82
태국,2007,0.81
태국,2008,0.81
태국,2009,0.81
태국,2010,0.81
태국,2011,0.8
태국,2012,0.8
태국,2013,0.8
태국,2014,0.8
태국,2015,0.79
태국,2016,0.79
태국,2017,0.79
태국,2018,0.78
태국,2019,0.78
태국,2020,0.78
태국,2021,0.78
태국,2022,0.77
튀르키예,2000,0.89
튀르키예,2001,0.89
튀르키예,2002,0.89
튀르키예,2003,0.89
튀르키예,2004,0.89
튀르키예,2005,0.89
튀르키예,2006,0.89
튀르키예,2007,0.89
튀르키예,2008,0.89
튀르키예,2009,0.88
튀르키예,2010,0.88
튀르키예,2011,0.88
튀르키예,2012,0.88
튀르키예,2013,0.88
튀르키예,2014,0.88
튀르키예,2015,0.88
튀르키예,2016,0.88
튀르키예,2017,0.88
튀르키예,2018,0.88
튀르키예,2019,0.88
튀르키예,2020,0.88
튀르키예,2021,0.88
튀르키예,2022,0.88
투르크메니스탄,2000,0.98
투르크메니스탄,2001,0.98
투르크메니스탄,2002,0.98
투르크메니스탄,2003,0.98
투르크메니스탄,2004,0.98
투르크메니스탄,2005,0.98
투르크메니스탄,2006,0.98
투르크메니스탄,2007,0.98
투르크메니스탄,2008,0.98
투르크메니스탄,2009,0.98
투르크메니스탄,2010,0.98
투르크메니스탄,2011,0.98
투르크메니스탄,2012,0.98
투르크메니스탄,2013,0.98
투르크메니스탄,2014,0.98
투르크메니스탄,2015,0.98
투르크메니스탄,2016,0.98
투르크메니스탄,2017,0.98
투르크메니스탄,2018,0.98
투르크메니스탄,2019,0.98
투르크메니스탄,2020,0.98
투르크메니스탄,2021,0.98
투르크메니스탄,2022,0.98
아랍에미리트,2000,0.91
아랍에미리트,2001,0.9
아랍에미리트,2002,0.9
아랍에미리트,2003,0.9
아랍에미리트,2004,0.9
아랍에미리트,2005,0.89
아랍에미리트,2006,0.89
아랍에미리트,2007,0.89
아랍에미리트,2008,0.88
아랍에미리트,2009,0.88
아랍에미리트,2010,0.88
아랍에미리트,2011,0.88
아랍에미리트,2012,0.88
아랍에미리트,2013,0.87
아랍에미리트,2014,0.87
아랍에미리트,2015,0.87
아랍에미리트,2016,0.86
아랍에미리트,2017,0.86
아랍에미리트,2018,0.86
아랍에미리트,2019,0.86
아랍에미리트,2020,0.85
아랍에미리트,2021,0.85
아랍에미리트,2022,0.85
우즈베키스탄,2000,0.98
우즈베키스탄,2001,0.98
우즈베키스탄,2002,0.98
우즈베키스탄,2003,0.98
우즈베키스탄,2004,0.98
우즈베키스탄,2005,0.98
우즈베키스탄,2006,0.98
우즈베키스탄,2007,0.98
우즈베키스탄,2008,0.98
우즈베키스탄,2009,0.98
우즈베키스탄,2010,0.98
우즈베키스탄,2011,0.97
우즈베키스탄,2012,0.97
우즈베키스탄,2013,0.97
우즈베키스탄,2014,0.97
우즈베키스탄,2015,0.97
우즈베키스탄,2016,0.97
우즈베키스탄,2017,0.97
우즈베키스탄,2018,0.97
우즈베키스탄,2019,0.97
우즈베키스탄,2020,0.97
우즈베키스탄,2021,0.97
우즈베키스탄,2022,0.97
베트남,2000,0.79
베트남,2001,0.79
베트남,2002,0.79
베트남,2003,0.78
베트남,2004,0.78
베트남,2005,0.77
베트남,2006,0.77
베트남,2007,0.77
베트남,2008,0.76
베트남,2009,0.76
베트남,2010,0.76
베트남,2011,0.75
베트남,2012,0.75
베트남,2013,0.74
베트남,2014,0.74
베트남,2015,0.74
베트남,2016,0.73
베트남,2017,0.73
베트남,2018,0.73
베트남,2019,0.72
베트남,2020,0.72
베트남,2021,0.71
베트남,2022,0.71
예멘,2000,0.89
예멘,2001,0.89
예멘,2002,0.89
예멘,2003,0.88
예멘,2004,0.88
예멘,2005,0.88
예멘,2006,0.88
예멘,2007,0.87
예멘,2008,0.87
예멘,2009,0.87
예멘,2010,0.87
예멘,2011,0.86
예멘,2012,0.86
예멘,2013,0.86
예멘,2014,0.86
예멘,2015,0.85
예멘,2016,0.85
예멘,2017,0.85
예멘,2018,0.85
예멘,2019,0.84
예멘,2020,0.84
예멘,2021,0.84
예멘,2022,0.83
캐나다,2000,0.97
캐나다,2001,0.97
캐나다,2002,0.97
캐나다,2003,0.97
캐나다,2004,0.97
캐나다,2005,0.97
캐나다,2006,0.97
캐나다,2007,0.97
캐나다,2008,0.97
캐나다,2009,0.97
캐나다,2010,0.97
캐나다,2011,0.97
캐나다,2012,0.97
캐나다,2013,0.97
캐나다,2014,0.97
캐나다,2015,0.96
캐나다,2016,0.96
캐나다,2017,0.96
캐나다,2018,0.96
캐나다,2019,0.96
캐나다,2020,0.96
캐나다,2021,0.96
캐나다,2022,0.96
멕시코,2000,0.72
멕시코,2001,0.72
멕시코,2002,0.72
멕시코,2003,0.72
멕시코,2004,0.71
멕시코,2005,0.71
멕시코,2006,0.71
멕시코,2007,0.71
멕시코,2008,0.7
멕시코,2009,0.7
멕시코,2010,0.7
멕시코,2011,0.7
멕시코,2012,0.7
멕시코,2013,0.69
멕시코,2014,0.69
멕시코,2015,0.69
멕시코,2016,0.69
멕시코,2017,0.69
멕시코,2018,0.68
멕시코,2019,0.68
멕시코,2020,0.68
멕시코,2021,0.68
멕시코,2022,0.67
미국,2000,0.85
미국,2001,0.85
미국,2002,0.85
미국,2003,0.85
미국,2004,0.84
미국,2005,0.84
미국,2006,0.84
미국,2007,0.84
미국,2008,0.84
미국,2009,0.84
미국,2010,0.84
미국,2011,0.84
미국,2012,0.84
미국,2013,0.84
미국,2014,0.84
미국,2015,0.84
미국,2016,0.84
미국,2017,0.83
미국,2018,0.83
미국,2019,0.83
미국,2020,0.83
미국,2021,0.83
미국,2022,0.83
앤티가바부다,2000,0.93
앤티가바부다,2001,0.93
앤티가바부다,2002,0.93
앤티가바부다,2003,0.92
앤티가바부다,2004,0.92
앤티가바부다,2005,0.92
앤티가바부다,2006,0.92
앤티가바부다,2007,0.92
앤티가바부다,2008,0.91
앤티가바부다,2009,0.91
앤티가바부다,2010,0.91
앤티가바부다,2011,0.91
앤티가바부다,2012,0.9
앤티가바부다,2013,0.9
앤티가바부다,2014,0.9
앤티가바부다,2015,0.9
앤티가바부다,2016,0.9
앤티가바부다,2017,0.89
앤티가바부다,2018,0.89
앤티가바부다,2019,0.89
앤티가바부다,2020,0.89
앤티가바부다,2021,0.88
앤티가바부다,2022,0.88
아르헨티나,2000,0.85
아르헨티나,2001,0.85
아르헨티나,2002,0.85
아르헨티나,2003,0.85
아르헨티나,2004,0.85
아르헨티나,2005,0.85
아르헨티나,2006,0.85
아르헨티나,2007,0.85
아르헨티나,2008,0.85
아르헨티나,2009,0.85
아르헨티나,2010,0.85
아르헨티나,2011,0.85
아르헨티나,2012,0.85
아르헨티나,2013,0.84
아르헨티나,2014,0.84
아르헨티나,2015,0.84
아르헨티나,2016,0.84
아르헨티나,2017,0.84
아르헨티나,2018,0.84
아르헨티나,2019,0.84
아르헨티나,2020,0.84
아르헨티나,2021,0.84
아르헨티나,2022,0.84
바하마,2000,0.73
바하마,2001,0.73
바하마,2002,0.72
바하마,2003,0.72
바하마,2004,0.72
바하마,2005,0.72
바하마,2006,0.72
바하마,2007,0.72
바하마,2008,0.72
바하마,2009,0.72
바하마,2010,0.72
바하마,2011,0.72
바하마,2012,0.71
바하마,2013,0.71
바하마,2014,0.71
바하마,2015,0.71
바하마,2016,0.71
바하마,2017,0.7
바하마,2018,0.7
바하마,2019,0.7
바하마,2020,0.7
바하마,2021,0.7
바하마,2022,0.69
바베이도스,2000,0.92
바베이도스,2001,0.92
바베이도스,2002,0.92
바베이도스,2003,0.92
바베이도스,2004,0.91
바베이도스,2005,0.91
바베이도스,2006,0.91
바베이도스,2007,0.91
바베이도스,2008,0.91
바베이도스,2009,0.91
바베이도스,2010,0.91
바베이도스,2011,0.91
바베이도스,2012,0.91
바베이도스,2013,0.9
바베이도스,2014,0.9
바베이도스,2015,0.9
바베이도스,2016,0.9
바베이도스,2017,0.9
바베이도스,2018,0.9
바베이도스,2019,0.9
바베이도스,2020,0.9
바베이도스,2021,0.9
바베이도스,2022,0.89
볼리비아,2000,0.89
볼리비아,2001,0.89
볼리비아,2002,0.89
볼리비아,2003,0.89
볼리비아,2004,0.89
볼리비아,2005,0.89
볼리비아,2006,0.89
볼리비아,2007,0.89
볼리비아,2008,0.88
볼리비아,2009,0.88
볼리비아,2010,0.88
볼리비아,2011,0.88
볼리비아,2012,0.88
볼리비아,2013,0.88
볼리비아,2014,0.88
볼리비아,2015,0.88
볼리비아,2016,0.88
볼리비아,2017,0.88
볼리비아,2018,0.88
볼리비아,2019,0.88
볼리비아,2020,0.88
볼리비아,2021,0.88
볼리비아,2022,0.88
브라질,2000,0.91
브라질,2001,0.91
브라질,2002,0.91
브라질,2003,0.91
브라질,2004,0.91
브라질,2005,0.91
브라질,2006,0.91
브라질,2007,0.91
브라질,2008,0.91
브라질,2009,0.91
브라질,2010,0.91
브라질,2011,0.9
브라질,2012,0.9
브라질,2013,0.9
브라질,2014,0.9
브라질,2015,0.9
브라질,2016,0.9
브라질,2017,0.9
브라질,2018,0.9
브라질,2019,0.9
브라질,2020,0.9
브라질,2021,0.9
브라질,2022,0.9
칠레,2000,0.83
칠레,2001,0.83
칠레,2002,0.83
칠레,2003,0.82
칠레,2004,0.82
칠레,2005,0.82
칠레,2006,0.81
칠레,2007,0.81
칠레,2008,0.81
칠레,2009,0.8
칠레,2010,0.8
칠레,2011,0.8
칠레,2012,0.79
칠레,2013,0.79
칠레,2014,0.79
칠레,2015,0.78
칠레,2016,0.78
칠레,2017,0.77
칠레,2018,0.77
칠레,2019,0.77
칠레,2020,0.76
칠레,2021,0.76
칠레,2022,0.76
콜롬비아,2000,0.76
콜롬비아,2001,0.76
콜롬비아,2002,0.76
콜롬비아,2003,0.76
콜롬비아,2004,0.76
콜롬비아,2005,0.76
콜롬비아,2006,0.75
콜롬비아,2007,0.75
콜롬비아,2008,0.75
콜롬비아,2009,0.75
콜롬비아,2010,0.75
콜롬비아,2011,0.75
콜롬비아,2012,0.75
콜롬비아,2013,0.75
콜롬비아,2014,0.74
콜롬비아,2015,0.74
콜롬비아,2016,0.74
콜롬비아,2017,0.74
콜롬비아,2018,0.74
콜롬비아,2019,0.74
콜롬비아,2020,0.74
콜롬비아,2021,0.74
콜롬비아,2022,0.74
코스타리카,2000,0.84
코스타리카,2001,0.84
코스타리카,2002,0.84
코스타리카,2003,0.84
코스타리카,2004,0.84
코스타리카,2005,0.84
코스타리카,2006,0.83
코스타리카,2007,0.83
코스타리카,2008,0.83
코스타리카,2009,0.83
코스타리카,2010,0.83
코스타리카,2011,0.83
코스타리카,2012,0.83
코스타리카,2013,0.83
코스타리카,2014,0.82
코스타리카,2015,0.82
코스타리카,2016,0.82
코스타리카,2017,0.82
코스타리카,2018,0.82
코스타리카,2019,0.82
코스타리카,2020,0.81
코스타리카,2021,0.81
코스타리카,2022,0.81
쿠바,2000,0.69
쿠바,2001,0.69
쿠바,2002,0.68
쿠바,2003,0.68
쿠바,2004,0.68
쿠바,2005,0.68
쿠바,2006,0.68
쿠바,2007,0.68
쿠바,2008,0.68
쿠바,2009,0.68
쿠바,2010,0.67
쿠바,2011,0.67
쿠바,2012,0.67
쿠바,2013,0.67
쿠바,2014,0.67
쿠바,2015,0.67
쿠바,2016,0.67
쿠바,2017,0.67
쿠바,2018,0.66
쿠바,2019,0.66
쿠바,2020,0.66
쿠바,2021,0.66
쿠바,2022,0.66
에콰도르,2000,0.77
에콰도르,2001,0.77
에콰도르,2002,0.76
에콰도르,2003,0.76
에콰도르,2004,0.75
에콰도르,2005,0.75
에콰도르,2006,0.74
에콰도르,2007,0.74
