"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 09월 23일","19,000","19,550","19,600","18,800","1.40M","-4.76%"
"2021년 09월 22일","19,950","19,950","19,950","19,950","-","0.00%"
"2021년 09월 17일","19,950","20,450","20,450","19,700","1.18M","-2.68%"
"2021년 09월 16일","20,500","20,400","20,800","20,300","806.39K","2.24%"
"2021년 09월 15일","20,050","20,150","20,200","19,850","0.08K","-1.23%"
"2021년 09월 14일","20,300","20,200","20,500","19,900","0.16K","0.50%"
"2021년 09월 13일","20,200","20,300","20,650","19,700","0.05K","-0.74%"
"2021년 09월 12일","20,350","20,350","20,350","20,350","-","0.00%"
"2021년 09월 10일","20,350","20,700","21,100","20,250","1.60M","-0.73%"
"2021년 09월 09일","20,500","22,200","22,250","20,500","0.37K","-7.87%"
"2021년 09월 08일","22,250","20,800","22,550","20,800","2.38K","8.01%"
"2021년 09월 07일","20,600","20,100","21,000","20,100","0.61K","3.52%"
"2021년 09월 06일","19,900","20,000","20,250","19,850","440.99K","-0.25%"
"2021년 09월 05일","19,950","19,950","19,950","19,950","-","0.00%"
"2021년 09월 03일","19,950","20,250","20,250","19,750","520.52K","-0.99%"
"2021년 09월 02일","20,150","20,400","20,850","20,100","0.06K","-0.98%"
"2021년 09월 01일","20,350","20,450","20,600","20,150","0.63K","0.25%"
"2021년 08월 31일","20,300","20,350","20,550","19,950","0.85K","0.25%"
"2021년 08월 30일","20,250","19,800","20,450","19,700","1.25M","4.38%"
"2021년 08월 29일","19,400","19,400","19,400","19,400","-","0.00%"
"2021년 08월 27일","19,400","19,650","19,700","19,250","584.06K","-2.51%"
"2021년 08월 26일","19,900","20,000","20,150","19,750","0.61K","-0.25%"
"2021년 08월 25일","19,950","20,050","20,700","19,550","0.03K","1.53%"
"2021년 08월 24일","19,650","18,650","19,750","18,650","0.00K","7.67%"
"2021년 08월 23일","18,250","18,200","18,600","17,500","1.00K","1.39%"
"2021년 08월 22일","18,000","18,000","18,000","18,000","-","0.00%"
"2021년 08월 20일","18,000","18,200","18,750","17,750","1.32M","-0.83%"
"2021년 08월 19일","18,150","19,300","19,400","18,150","2.40K","-6.68%"
"2021년 08월 18일","19,450","19,000","19,650","18,450","1.31M","3.18%"
"2021년 08월 17일","18,850","19,500","19,600","18,500","2.26K","-2.58%"
"2021년 08월 16일","19,350","19,350","19,350","19,350","-","0.00%"
"2021년 08월 13일","19,350","19,700","19,850","18,800","1.14M","-1.78%"
"2021년 08월 12일","19,700","20,000","20,150","19,450","2.41K","-0.51%"
"2021년 08월 11일","19,800","20,000","20,400","19,700","962.23K","0.76%"
"2021년 08월 10일","19,650","19,900","19,950","19,600","640.92K","-0.76%"
"2021년 08월 09일","19,800","20,050","20,100","19,700","0.06K","-1.74%"
"2021년 08월 08일","20,150","20,150","20,150","20,150","-","0.00%"
"2021년 08월 06일","20,150","20,650","20,650","20,150","665.24K","-2.42%"
"2021년 08월 05일","20,650","20,350","20,650","20,200","0.34K","0.73%"
"2021년 08월 04일","20,500","20,200","20,600","20,000","0.01K","2.50%"
"2021년 08월 03일","20,000","20,500","20,550","20,000","0.02K","-3.15%"
"2021년 08월 02일","20,650","21,500","21,550","20,300","1.46K","-2.82%"
"2021년 08월 01일","21,250","21,250","21,250","21,250","-","0.00%"
"2021년 07월 30일","21,250","20,950","21,600","20,800","1.42M","2.16%"
"2021년 07월 29일","20,800","21,450","21,450","20,600","0.01K","-2.12%"
"2021년 07월 28일","21,250","21,250","21,600","21,000","668.88K","0.00%"
"2021년 07월 27일","21,250","21,150","21,750","21,150","0.62K","1.92%"
"2021년 07월 26일","20,850","21,850","21,900","20,850","0.00K","-3.47%"
"2021년 07월 25일","21,600","21,600","21,600","21,600","-","0.00%"
"2021년 07월 23일","21,600","20,850","21,900","20,500","2.40M","4.10%"
"2021년 07월 22일","20,750","20,100","20,800","19,800","1.39M","5.06%"
"2021년 07월 21일","19,750","20,150","20,400","19,700","0.00K","-0.75%"
"2021년 07월 20일","19,900","19,700","20,200","19,550","0.03K","-1.49%"
"2021년 07월 19일","20,200","20,850","20,900","20,150","0.02K","-4.49%"
"2021년 07월 18일","21,150","21,150","21,150","21,150","-","0.00%"
"2021년 07월 16일","21,150","20,900","21,500","20,750","852.18K","0.00%"
"2021년 07월 15일","21,150","20,750","21,200","20,400","1.73K","1.93%"
"2021년 07월 14일","20,750","20,950","21,100","20,650","1.33K","-1.66%"
"2021년 07월 13일","21,100","21,350","21,400","20,800","1.09K","-0.47%"
"2021년 07월 12일","21,200","21,550","21,850","21,150","1.32K","0.95%"
"2021년 07월 09일","21,000","21,400","21,400","20,550","2.13M","-3.00%"
"2021년 07월 08일","21,650","21,600","22,500","21,550","0.67K","0.93%"
"2021년 07월 07일","21,450","21,350","22,000","21,250","0.22K","-0.69%"
"2021년 07월 06일","21,600","22,000","22,100","21,600","3.54K","-1.14%"
"2021년 07월 05일","21,850","22,300","22,450","21,700","0.06K","-1.58%"
"2021년 07월 04일","22,200","22,200","22,200","22,200","-","0.00%"
"2021년 07월 02일","22,200","22,050","22,900","22,050","1.63M","0.91%"
"2021년 07월 01일","22,000","22,250","22,250","21,900","898.01K","-0.90%"
