"지역","발생횟수","날짜","year","month","비품종견","품종견"
"대구",203,"2016-07-01",2016,7,90,113
"인천",324,"2016-07-01",2016,7,107,217
"광주",181,"2016-07-01",2016,7,73,108
"대전",240,"2016-07-01",2016,7,76,164
"울산",127,"2016-07-01",2016,7,56,71
"세종",23,"2016-07-01",2016,7,7,16
"경기",1578,"2016-07-01",2016,7,684,894
"강원",312,"2016-07-01",2016,7,164,148
"충북",247,"2016-07-01",2016,7,91,156
"충남",256,"2016-07-01",2016,7,149,107
"전북",300,"2016-07-01",2016,7,157,143
"전남",221,"2016-07-01",2016,7,128,93
"경북",269,"2016-07-01",2016,7,145,124
"경남",561,"2016-07-01",2016,7,377,184
"제주",181,"2016-07-01",2016,7,148,33
"서울",611,"2016-08-01",2016,8,208,403
