"지역(1)","지역(2)","발생횟수","연도"
"경북","영덕군",378,2020
"경북","영양군",82,2020
"경북","영주시",392,2020
"경북","영천시",235,2020
"경북","예천군",213,2020
"경북","울릉군",14,2020
"경북","울진군",487,2020
"경북","의성군",232,2020
"경북","청도군",397,2020
"경북","청송군",128,2020
"경북","칠곡군",335,2020
"경북","포항시",1748,2020
"경남","거제시",1424,2020
"경남","거창군",503,2020
"경남","고성군",609,2020
"경남","김해시",1749,2020
"경남","남해군",374,2020
"경남","밀양시",1960,2020
"경남","사천시",928,2020
"경남","산청군",174,2020
"경남","양산시",366,2020
"경남","의령군",187,2020
"경남","진주시",541,2020
"경남","창녕군",976,2020
"경남","창원시 마산합포회원구",510,2020
"경남","창원시 의창성산구",859,2020
"경남","창원시 진해구",515,2020
"경남","통영시",550,2020
"경남","하동군",342,2020
"경남","함안군",535,2020
"경남","함양군",146,2020
"경남","합천군",435,2020
"제주","서귀포시",2746,2020
"제주","제주시",3557,2020
