"과목 및 유형","시점",1명 (%),2명 (%),- 첫째 (%),- 둘째 (%),3명 이상 (%),- 첫째 (%),- 둘째 (%),- 셋째 이상 (%)
"취미·교양","2019",6.6,5.2,5.5,4.9,5.3,5.4,5.0,5.5
"취미·교양","2020",3.8,2.8,3.0,2.7,2.4,2.3,2.4,2.5
"취미·교양","2021",4.7,3.8,3.7,3.8,3.7,3.5,3.7,3.7
"과목: 취업관련 사교육","2017",0.7,0.8,0.7,0.9,0.9,0.7,1.1,0.8
"과목: 취업관련 사교육","2018",0.7,0.6,0.5,0.6,0.6,0.5,0.6,0.7
"과목: 취업관련 사교육","2019",0.5,0.7,0.6,0.7,0.6,0.5,0.6,0.8
"과목: 취업관련 사교육","2020",0.4,0.6,0.5,0.6,0.7,0.7,0.8,0.5
"과목: 취업관련 사교육","2021",0.4,0.6,0.6,0.6,0.7,0.7,0.7,0.8
"과목: 진로·진학 학습상담","2017",3.5,3.1,3.2,2.9,2.6,2.7,2.1,3.0
"과목: 진로·진학 학습상담","2018",3.8,3.7,4.1,3.3,3.3,3.2,3.5,3.1
"과목: 진로·진학 학습상담","2019",2.9,2.3,2.4,2.1,2.1,2.1,2.2,2.0
"과목: 진로·진학 학습상담","2020",3.1,2.4,2.7,2.1,2.0,2.8,1.6,1.7
"과목: 진로·진학 학습상담","2021",3.1,2.2,2.6,1.8,2.0,2.1,2.1,1.8
"유형: 일반교과 사교육","2017",52.0,55.4,57.7,53.2,43.9,47.7,43.9,41.3
"유형: 일반교과 사교육","2018",55.4,55.7,58.8,52.9,46.4,50.4,48.2,42.6
"유형: 일반교과 사교육","2019",59.8,59.4,61.6,57.4,48.2,54.2,48.5,44.1
"유형: 일반교과 사교육","2020",54.1,55.6,57.5,53.8,43.9,49.6,43.9,40.3
"유형: 일반교과 사교육","2021",64.2,63.6,66.3,61.1,52.2,58.5,51.5,48.5
"개인과외","2017",9.8,9.4,10.0,8.9,6.2,7.0,6.2,5.7
"개인과외","2018",11.6,9.4,10.3,8.5,7.3,8.6,7.4,6.5
"개인과외","2019",10.6,9.4,10.1,8.7,6.6,7.7,6.5,5.9
"개인과외","2020",10.7,9.2,9.8,8.5,6.3,8.1,6.0,5.4
"개인과외","2021",12.0,10.6,11.8,9.5,7.5,10.4,6.9,6.2
"그룹과외","2017",9.4,10.2,10.8,9.7,7.1,9.3,6.3,6.3
"그룹과외","2018",9.4,10.0,11.2,9.0,7.9,9.3,8.6,6.6
"그룹과외","2019",9.4,10.0,10.9,9.2,7.6,9.0,7.3,6.8
"그룹과외","2020",7.4,9.1,9.9,8.4,6.6,8.0,6.4,5.9
"그룹과외","2021",8.8,9.6,10.0,9.1,7.7,8.8,7.8,7.0
"학원수강","2017",36.8,39.3,40.8,37.9,28.7,31.3,28.6,27.0
"학원수강","2018",39.1,39.4,41.2,37.8,30.0,32.6,31.2,27.7
"학원수강","2019",43.8,43.8,45.0,42.6,32.8,37.9,33.6,29.0
"학원수강","2020",38.8,40.6,41.5,39.8,30.0,33.6,30.8,27.2
"학원수강","2021",46.5,47.4,49.2,45.7,35.8,40.8,35.4,32.7
"방문학습지","2017",12.6,12.8,14.6,11.1,11.0,12.6,11.0,10.0
"방문학습지","2018",12.5,13.0,14.9,11.3,12.3,15.2,12.8,10.3
"방문학습지","2019",14.5,13.3,14.1,12.5,11.2,12.2,12.0,10.0
"방문학습지","2020",11.7,10.8,11.8,9.8,8.9,9.5,8.8,8.6
"방문학습지","2021",13.9,11.9,12.5,11.3,9.7,10.3,9.9,9.1
"유료인터넷 및 통신강좌 등","2017",5.1,5.6,6.5,4.8,4.2,6.0,3.2,3.7
"유료인터넷 및 통신강좌 등","2018",6.6,6.2,7.2,5.3,4.9,6.4,5.0,4.0
"유료인터넷 및 통신강좌 등","2019",8.8,7.5,8.6,6.5,6.5,8.2,6.2,5.6
"유료인터넷 및 통신강좌 등","2020",7.7,6.5,7.7,5.3,5.2,7.2,5.1,4.0
"유료인터넷 및 통신강좌 등","2021",12.3,10.3,11.9,8.7,8.9,11.9,8.5,7.1
"유형: 예체능,취미,교양 사교육","2017",45.8,41.7,44.8,38.9,36.9,42.2,37.0,33.3
"유형: 예체능,취미,교양 사교육","2018",47.8,42.7,44.9,40.7,38.8,40.6,38.9,37.6
"유형: 예체능,취미,교양 사교육","2019",49.7,44.5,46.5,42.6,39.4,40.5,39.4,38.7
"유형: 예체능,취미,교양 사교육","2020",36.2,32.2,33.7,30.7,28.7,29.6,27.7,29.0
"유형: 예체능,취미,교양 사교육","2021",48.6,40.7,42.9,38.7,36.4,38.2,34.9,36.4
"개인과외","2017",7.7,5.7,6.2,5.2,4.8,6.7,4.0,4.2
"개인과외","2018",8.2,6.4,6.7,6.2,5.2,6.4,5.0,4.6
"개인과외","2019",7.4,5.4,5.7,5.1,5.0,4.9,5.3,4.9
"개인과외","2020",6.4,4.5,4.8,4.2,3.7,4.3,3.5,3.4
"개인과외","2021",7.5,4.8,4.8,4.8,3.5,4.4,3.5,2.9
"그룹과외","2017",5.0,5.0,5.2,4.8,4.5,5.0,3.9,4.6
"그룹과외","2018",5.7,5.2,5.1,5.3,4.2,3.8,4.8,4.1
"그룹과외","2019",5.6,5.1,5.2,5.1,4.2,4.2,3.6,4.6
"그룹과외","2020",3.4,3.0,3.2,2.8,2.6,2.1,2.8,2.8
"그룹과외","2021",4.2,3.4,3.5,3.3,2.7,2.7,2.7,2.7
"학원수강","2017",34.5,31.9,34.8,29.3,27.9,31.1,29.2,24.8
"학원수강","2018",36.9,32.6,34.6,30.7,29.1,30.5,29.1,28.1
"학원수강","2019",39.7,35.5,37.4,33.7,30.1,31.5,30.4,28.8
"학원수강","2020",27.5,25.4,26.8,23.9,22.6,23.8,21.5,22.6
"학원수강","2021",40.3,33.7,35.8,31.7,30.1,31.2,29.1,30.1
"방문수업 및 기타","2017",6.5,6.0,6.1,5.8,5.7,6.9,5.6,5.0
"방문수업 및 기타","2018",6.1,5.6,5.8,5.5,5.7,5.8,6.1,5.3
"방문수업 및 기타","2019",5.9,5.7,6.1,5.3,6.0,6.5,5.2,6.2
"방문수업 및 기타","2020",3.0,2.4,2.3,2.5,2.2,2.1,2.1,2.3
"방문수업 및 기타","2021",3.3,3.1,3.2,3.1,3.2,3.1,2.9,3.4
