Team,Outcome,Task_Completed,All_Tasks_Completed,Murdered,Imposter_Kills,Game_Length,Ejected,Sabotages_Fixed,Time_to_complete_all_tasks
Crewmate,Win,9,Yes,No,,638,No,1.0,04m 13s
Crewmate,Win,8,Yes,No,,1173,No,3.0,09m 01s
Crewmate,Loss,7,Yes,Yes,,795,No,0.0,05m 35s
Crewmate,Win,7,Yes,Yes,,796,No,0.0,08m 01s
Imposter,Loss,,,,1,660,Yes,,
Imposter,Loss,,,,1,1081,Yes,,
Imposter,Win,,,,2,865,No,,
Crewmate,Win,7,Yes,No,,1013,No,2.0,05m 07s
Crewmate,Win,7,Yes,Yes,,1165,No,1.0,11m 44s
Crewmate,Win,7,Yes,Yes,,506,No,1.0,04m 43s
Crewmate,Win,7,Yes,Yes,,773,No,0.0,04m 36s
Crewmate,Win,7,Yes,No,,741,No,1.0,04m 56s
Crewmate,Loss,7,Yes,No,,294,No,0.0,04m 40s
Crewmate,Win,4,No,Yes,,306,No,1.0,
Crewmate,Win,7,Yes,No,,549,No,0.0,04m 55s
Crewmate,Loss,7,Yes,Yes,,848,No,0.0,03m 52s
Crewmate,Win,8,No,Yes,,357,No,0.0,02m 46s
Crewmate,Win,7,Yes,No,,1049,No,0.0,11m 27s
Imposter,Loss,,,,3,411,No,,
Crewmate,Win,7,Yes,No,,429,No,0.0,03m 48s
Crewmate,Win,7,Yes,Yes,,283,No,0.0,03m 34s
Crewmate,Win,2,No,No,,261,No,0.0,03m 48s
Crewmate,Win,8,Yes,Yes,,600,No,0.0,04m 15s
Crewmate,Loss,4,No,Yes,,227,No,0.0,
Crewmate,Loss,8,Yes,Yes,,322,No,0.0,05m 17s
Imposter,Loss,,,,0,436,No,,
Imposter,Loss,,,,2,530,Yes,,
Crewmate,Loss,3,No,No,,66,No,1.0,
Crewmate,Loss,4,No,No,,330,No,0.0,02m 05s
Crewmate,Win,5,No,No,,383,No,0.0,00m 40s
Crewmate,Loss,3,No,No,,36,No,0.0,
Imposter,Win,,,,3,48,No,,
Imposter,Win,,,,2,145,No,,
Imposter,Win,,,,1,291,No,,
Imposter,Win,,,,2,102,No,,
Crewmate,Loss,5,Yes,No,,439,No,2.0,02m 23s
Crewmate,Loss,0,No,No,,84,No,1.0,
Crewmate,Loss,3,No,Yes,,148,No,2.0,
Crewmate,Loss,8,Yes,Yes,,1249,No,0.0,14m 23s
Crewmate,Win,8,Yes,No,,910,No,2.0,14m 02s
Crewmate,Loss,8,Yes,No,,449,No,0.0,06m 01s
Crewmate,Loss,6,No,No,,350,No,0.0,
Crewmate,Loss,9,Yes,No,,1263,No,2.0,06m 37s
Crewmate,Win,9,Yes,No,,705,No,0.0,05m 43s
Crewmate,Loss,5,Yes,Yes,,348,No,0.0,05m 47s
Crewmate,Win,3,No,No,,125,No,1.0,
Crewmate,Loss,4,No,Yes,,434,No,1.0,
Crewmate,Loss,4,No,Yes,,331,No,1.0,
Imposter,Loss,,,,2,275,Yes,,
Crewmate,Loss,1,No,Yes,,55,No,0.0,
Crewmate,Win,0,No,No,,304,No,0.0,
Imposter,Win,,,,3,215,No,,
Crewmate,Win,0,No,Yes,,576,No,0.0,
Imposter,Win,,,,2,192,No,,
Crewmate,Loss,0,No,Yes,,120,No,0.0,
Crewmate,Win,5,Yes,No,,386,No,0.0,03m 13s
Crewmate,Win,2,No,No,,152,No,0.0,
Crewmate,Loss,0,No,Yes,,117,No,0.0,
Imposter,Loss,,,,2,506,Yes,,
Imposter,Win,,,,4,372,No,,
Crewmate,Win,4,No,No,,459,No,0.0,
Crewmate,Loss,2,No,No,,211,No,1.0,
Crewmate,Win,5,Yes,No,,337,No,0.0,04m 02s
Crewmate,Win,4,No,Yes,,336,No,1.0,04m 39s
Crewmate,Win,6,No,No,,481,No,1.0,
Imposter,Loss,,,,1,1042,No,,
Crewmate,Loss,7,Yes,Yes,,627,No,0.0,08m 58s
Crewmate,Win,5,No,No,,869,No,1.0,
Crewmate,Loss,5,Yes,Yes,,430,No,0.0,05m 17s
Crewmate,Win,3,No,No,,283,No,0.0,
Imposter,Win,,,,2,419,No,,
Crewmate,Win,6,Yes,No,,624,No,2.0,01m 31s
Crewmate,Win,6,Yes,No,,388,No,1.0,04m 05s
Imposter,Win,,,,2,131,No,,
Imposter,Win,,,,1,29,No,,
Crewmate,Loss,0,No,No,,21,No,0.0,
Crewmate,Win,4,No,No,,447,No,1.0,04m 35s
Crewmate,Loss,2,No,No,,150,No,0.0,
Crewmate,Win,4,No,No,,164,No,0.0,
Crewmate,Loss,8,Yes,Yes,,1112,No,1.0,11m 33s
Crewmate,Win,8,Yes,No,,641,No,1.0,03m 13s
Imposter,Win,,,,1,462,No,,
Crewmate,Loss,8,Yes,Yes,,798,No,0.0,12m 59s
Crewmate,Loss,8,Yes,Yes,,1262,No,1.0,08m 17s
Imposter,Win,,,,3,811,No,,
Crewmate,Win,4,No,No,,370,No,0.0,
Crewmate,Win,8,Yes,Yes,,1264,No,0.0,08m 49s
Crewmate,Win,8,Yes,No,,754,No,0.0,05m 36s
Imposter,Loss,,,,3,1520,Yes,,
Crewmate,Loss,8,Yes,Yes,,687,No,0.0,07m 47s
Crewmate,Win,7,Yes,Yes,,793,No,1.0,10m 05s
Imposter,Loss,,,,3,518,No,,
Imposter,Win,,,,3,450,No,,
Crewmate,Loss,7,Yes,Yes,,1099,No,0.0,07m 13s
Crewmate,Win,6,Yes,Yes,,642,No,0.0,05m 07s
Crewmate,Win,3,No,No,,311,No,1.0,
Crewmate,Loss,5,No,Yes,,298,No,0.0,
Imposter,Loss,,,,0,217,Yes,,
Crewmate,Win,1,No,Yes,,79,No,0.0,
Crewmate,Loss,3,No,Yes,,131,No,0.0,02m 05s
Crewmate,Win,7,Yes,Yes,,569,No,0.0,06m 56s
Crewmate,Loss,6,No,Yes,,187,No,0.0,
Imposter,Loss,,,,3,700,Yes,,
Imposter,Win,,,,4,587,No,,
