,201901월,201902월,201903월,201904월,201905월,201906월,201907월,201908월,201909월,201910월,201911월,201912월,202001월,202002월,202003월,202004월,202005월,202006월,202007월,202008월,202009월,202010월,202011월,202012월,202101월,202102월,202103월,202104월,202105월,202106월,202107월,202108월,202109월,202110월,202111월,202112월,202201월,202202월,202203월,202204월,202205월
소비자물가,0.8,0.5,0.4,0.6,0.7,0.7,0.6,0.0,-0.4,0.0,0.2,0.7,1.2,0.9,0.8,0.0,-0.2,0.2,0.4,0.8,0.9,0.1,0.6,0.6,0.9,1.4,1.9,2.5,2.6,2.3,2.6,2.6,2.4,3.2,3.8,3.7,3.6,3.7,4.1,4.8,5.4
농축수산물,2.5,-1.4,-0.3,0.7,1.2,1.8,-0.3,-7.3,-8.2,-3.8,-2.7,-0.8,1.3,-0.7,3.3,1.0,3.6,6.1,8.8,12.3,12.8,12.5,10.5,8.9,10.5,16.1,13.3,13.2,11.3,9.5,8.5,5.6,3.1,0.5,7.6,7.8,6.3,1.6,0.4,1.9,4.2
공업제품,-0.7,-0.8,-0.7,-0.1,0.3,0.0,0.0,-0.2,-0.2,-0.3,-0.2,1.1,2.3,2.2,1.3,-0.5,-1.8,-1.2,-0.5,-0.5,-0.8,-1.1,-1.0,-1.0,-0.8,-0.8,0.5,2.0,2.6,2.2,2.4,2.9,3.0,3.8,5.2,4.7,4.2,5.2,6.9,7.8,8.3
집세,0.2,0.1,0.1,0.0,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.1,-0.1,0.1,0.0,0.1,0.2,0.2,0.3,0.4,0.5,0.6,0.6,0.7,0.8,1.0,1.1,1.3,1.3,1.4,1.5,1.7,1.7,1.9,2.0,2.1,2.1,2.0,2.0,2.0
공공서비스,-0.3,-0.3,-0.3,-0.3,-0.2,-0.2,-0.1,0.0,-1.2,-1.0,-0.9,-0.9,-1.6,-1.6,-0.5,-1.6,-1.8,-1.8,-1.8,-1.7,-0.7,-6.0,-1.4,-1.0,0.0,0.1,0.3,0.4,0.5,0.6,0.6,0.5,0.7,6.1,1.2,0.9,0.9,0.9,0.6,0.7,0.7
개인서비스,2.5,2.5,2.0,1.7,1.6,1.9,1.9,1.8,1.5,1.7,1.6,1.6,1.7,1.1,0.5,1.0,1.0,1.1,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,2.2,2.4,2.6,2.5,2.7,2.8,2.7,2.7,3.0,3.4,3.9,4.3,4.4,4.5,5.1
근원물가,1.2,1.3,0.9,0.9,0.8,0.9,1.0,0.9,0.6,0.8,0.6,0.7,0.7,0.5,0.5,0.3,0.6,0.8,0.7,0.8,0.9,0.2,1.1,1.1,1.2,1.2,1.4,1.6,1.5,1.5,1.8,1.9,2.0,2.8,2.4,2.7,3.0,3.2,3.3,3.6,4.1
생활물가,0.4,0.0,0.0,0.4,0.8,0.8,0.4,-0.4,-0.9,-0.3,0.2,1.1,1.7,1.2,1.4,0.2,-0.5,0.1,0.3,0.7,1.0,-0.7,0.0,0.0,0.8,1.7,2.1,3.1,3.4,3.0,3.5,3.3,3.1,4.6,5.2,4.6,4.1,4.1,5.0,5.7,6.7
