날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 03월 09일,"317,000","328,000","334,000","303,500",0.44K,-1.40%
2021년 03월 08일,"321,500","318,500","332,000","317,500",0.12K,2.23%
2021년 03월 07일,"314,500","314,500","314,500","314,500",-,0.00%
2021년 03월 05일,"314,500","299,500","318,500","299,500",904.26K,1.78%
2021년 03월 04일,"309,000","318,000","318,000","303,500",1.44K,3.34%
2021년 03월 03일,"299,000","286,000","299,000","284,000",0.06K,4.91%
2021년 03월 02일,"285,000","289,000","291,000","283,500",0.63K,1.24%
2021년 03월 01일,"281,500","281,500","281,500","281,500",-,0.00%
2021년 02월 26일,"281,500","279,000","284,000","275,500",633.65K,-0.53%
2021년 02월 25일,"283,000","279,500","284,500","277,000",0.02K,3.28%
2021년 02월 24일,"274,000","279,500","285,500","273,000",0.01K,-1.97%
2021년 02월 23일,"279,500","272,000","280,000","269,000",0.01K,4.29%
2021년 02월 22일,"268,000","265,000","270,000","263,500",0.18K,1.71%
2021년 02월 21일,"263,500","263,500","263,500","263,500",-,0.00%
2021년 02월 19일,"263,500","265,000","265,000","255,500",314.47K,-0.57%
2021년 02월 18일,"265,000","268,500","271,500","265,000",0.01K,-2.03%
2021년 02월 17일,"270,500","275,500","279,000","268,000",0.01K,-0.37%
2021년 02월 16일,"271,500","268,500","273,000","266,000",0.06K,1.31%
2021년 02월 15일,"268,000","272,500","274,000","268,000",0.25K,-1.11%
2021년 02월 10일,"271,000","271,500","271,500","268,000",293.39K,0.37%
2021년 02월 09일,"270,000","270,500","271,500","268,500",0.08K,0.56%
2021년 02월 08일,"268,500","264,500","272,000","263,000",482.77K,2.09%
2021년 02월 07일,"263,000","263,000","263,000","263,000",-,0.00%
2021년 02월 05일,"263,000","265,500","265,500","259,000",237.59K,-0.57%
2021년 02월 04일,"264,500","265,500","265,500","261,000",0.00K,0.76%
2021년 02월 03일,"262,500","262,500","266,000","261,000",353.00K,-0.19%
2021년 02월 02일,"263,000","255,500","263,500","253,000",0.37K,3.95%
2021년 02월 01일,"253,000","247,000","253,000","245,500",0.03K,3.05%
2021년 01월 31일,"245,500","245,500","245,500","245,500",-,0.00%
2021년 01월 29일,"245,500","251,500","254,000","242,500",543.16K,-1.80%
2021년 01월 28일,"250,000","253,500","255,000","246,000",0.07K,-3.66%
2021년 01월 27일,"259,500","260,000","262,000","257,500",0.22K,0.78%
2021년 01월 26일,"257,500","265,000","265,000","256,000",0.03K,-2.65%
2021년 01월 25일,"264,500","262,500","265,000","262,000",0.22K,1.34%
2021년 01월 24일,"261,000","261,000","261,000","261,000",-,0.00%
2021년 01월 22일,"261,000","271,500","271,500","261,000",608.30K,-3.15%
2021년 01월 21일,"269,500","274,000","276,000","269,000",0.37K,-0.92%
2021년 01월 20일,"272,000","275,000","276,000","267,000",0.02K,0.37%
2021년 01월 19일,"271,000","268,500","274,500","267,000",351.76K,1.88%
2021년 01월 18일,"266,000","270,000","273,000","264,000",0.30K,-3.27%
2021년 01월 17일,"275,000","275,000","275,000","275,000",-,0.00%
2021년 01월 15일,"275,000","283,500","286,500","274,000",370.85K,-2.48%
2021년 01월 14일,"282,000","283,000","285,000","281,000",0.03K,-0.53%
2021년 01월 13일,"283,500","280,000","284,500","277,500",0.02K,2.35%
2021년 01월 12일,"277,000","281,000","281,500","271,000",0.16K,-2.46%
2021년 01월 11일,"284,000","291,000","291,500","280,000",0.26K,-3.57%
2021년 01월 10일,"294,500","294,500","294,500","294,500",-,0.00%
2021년 01월 08일,"294,500","295,000","295,000","287,500",574.51K,1.20%
2021년 01월 07일,"291,000","286,500","295,500","286,500",0.00K,3.93%
2021년 01월 06일,"280,000","286,000","289,000","278,000",0.02K,-1.75%
2021년 01월 05일,"285,000","275,000","293,000","274,500",0.14K,4.40%
2021년 01월 04일,"273,000","272,500","275,000","268,000",0.79K,0.37%
