날짜,종가,오픈,고가,저가,거래량,변동 %
2022년 01월 19일,"284,500","281,000","289,500","280,000",0.05K,-0.52%
2022년 01월 18일,"286,000","294,000","294,000","284,000",0.01K,-2.22%
2022년 01월 17일,"292,500","299,000","299,000","290,500",0.01K,-2.17%
2022년 01월 16일,"299,000","299,000","299,000","299,000",-,0.00%
2022년 01월 14일,"299,000","303,500","306,000","298,000",308.62K,-2.45%
2022년 01월 13일,"306,500","310,500","315,500","305,500",0.01K,0.33%
2022년 01월 12일,"305,500","301,000","306,000","299,500",0.00K,1.83%
2022년 01월 11일,"300,000","300,500","304,000","296,000",389.12K,-1.32%
2022년 01월 10일,"304,000","304,500","308,500","301,000",0.07K,-0.33%
2022년 01월 09일,"305,000","305,000","305,000","305,000",-,0.00%
2022년 01월 07일,"305,000","301,500","306,500","298,000",517.46K,0.16%
2022년 01월 06일,"304,500","297,500","310,000","293,500",0.27K,3.05%
2022년 01월 05일,"295,500","288,500","298,500","286,500",0.21K,3.14%
2022년 01월 04일,"286,500","279,500","288,000","278,500",345.39K,2.32%
2022년 01월 03일,"280,000","277,000","284,000","276,500",263.66K,2.00%
2021년 12월 30일,"274,500","278,000","280,000","274,500",216.85K,-1.61%
2021년 12월 29일,"279,000","278,500","281,500","273,500",0.01K,-1.59%
2021년 12월 28일,"283,500","282,500","283,500","280,500",0.00K,0.71%
2021년 12월 27일,"281,500","284,500","284,500","281,000",0.02K,-0.88%
2021년 12월 26일,"284,000","284,000","284,000","284,000",-,0.00%
2021년 12월 24일,"284,000","283,500","285,000","282,500",153.47K,0.18%
2021년 12월 23일,"283,500","283,500","285,500","282,000",158.77K,0.53%
2021년 12월 22일,"282,000","281,000","286,000","281,000",227.39K,0.53%
2021년 12월 21일,"280,500","282,000","283,000","279,000",0.00K,0.00%
2021년 12월 20일,"280,500","288,000","288,000","280,000",0.79K,-3.94%
2021년 12월 19일,"292,000","292,000","292,000","292,000",-,0.00%
2021년 12월 17일,"292,000","281,000","292,500","281,000",497.31K,3.00%
2021년 12월 16일,"283,500","284,000","285,000","279,000",0.20K,0.53%
2021년 12월 15일,"282,000","286,500","287,000","281,500",0.14K,-2.25%
2021년 12월 14일,"288,500","285,500","288,500","281,500",0.38K,0.52%
2021년 12월 13일,"287,000","281,000","291,000","280,000",0.05K,1.95%
2021년 12월 12일,"281,500","281,500","281,500","281,500",-,0.00%
2021년 12월 10일,"281,500","288,500","288,500","280,500",1.04M,-4.58%
2021년 12월 09일,"295,000","286,500","295,000","284,000",0.05K,1.72%
2021년 12월 08일,"290,000","290,000","295,000","287,500",403.02K,0.52%
2021년 12월 07일,"288,500","291,000","293,000","285,000",0.00K,0.52%
2021년 12월 06일,"287,000","284,000","292,000","278,000",615.44K,1.06%
2021년 12월 05일,"284,000","284,000","284,000","284,000",-,0.00%
2021년 12월 03일,"284,000","282,000","288,000","280,000",416.38K,0.89%
2021년 12월 02일,"281,500","276,500","283,000","270,000",0.35K,1.62%
2021년 12월 01일,"277,000","265,500","284,500","263,000",0.41K,6.13%
2021년 11월 30일,"261,000","267,000","270,000","260,000",0.40K,-1.32%
2021년 11월 29일,"264,500","266,500","268,000","262,000",524.88K,-2.76%
2021년 11월 28일,"272,000","272,000","272,000","272,000",-,0.00%
2021년 11월 26일,"272,000","277,500","278,000","271,000",247.26K,-1.81%
2021년 11월 25일,"277,000","279,000","280,000","274,500",0.08K,-1.25%
2021년 11월 24일,"280,500","286,500","287,000","278,500",0.27K,-2.09%
2021년 11월 23일,"286,500","283,500","291,500","283,500",0.12K,1.96%
2021년 11월 22일,"281,000","277,500","284,000","275,500",0.06K,1.08%
2021년 11월 21일,"278,000","278,000","278,000","278,000",-,0.00%
2021년 11월 19일,"278,000","274,500","281,000","274,000",285.01K,1.46%
2021년 11월 18일,"274,000","276,000","279,000","274,000",1.10K,-0.72%
2021년 11월 17일,"276,000","284,500","284,500","275,500",405.08K,-2.65%
2021년 11월 16일,"283,500","283,500","287,500","280,500",218.82K,-0.53%
2021년 11월 15일,"285,000","287,500","288,000","284,500",0.07K,0.00%
2021년 11월 14일,"285,000","285,000","285,000","285,000",-,0.00%
2021년 11월 12일,"285,000","281,000","288,000","280,000",499.22K,3.83%
2021년 11월 11일,"274,500","270,000","278,000","269,000",539.94K,0.18%
2021년 11월 10일,"274,000","281,500","283,000","274,000",0.03K,-3.86%
2021년 11월 09일,"285,000","285,000","289,000","284,000",298.22K,0.18%
2021년 11월 08일,"284,500","283,500","285,000","277,000",0.12K,-0.18%
2021년 11월 07일,"285,000","285,000","285,000","285,000",-,0.00%
