"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 10월 11일","45,550","45,550","45,550","45,550","-","0.00%"
"2021년 10월 08일","45,550","45,000","46,250","44,650","708.64K","2.02%"
"2021년 10월 07일","44,650","43,500","44,950","43,500","652.38K","3.24%"
"2021년 10월 06일","43,250","45,500","45,850","43,250","0.15K","-4.31%"
"2021년 10월 05일","45,200","45,050","45,900","44,350","749.47K","-1.53%"
"2021년 10월 04일","45,900","45,900","45,900","45,900","-","0.00%"
"2021년 10월 01일","45,900","46,900","47,100","45,350","933.48K","-3.06%"
"2021년 09월 30일","47,350","47,150","47,700","46,800","0.03K","0.42%"
"2021년 09월 29일","47,150","46,950","47,750","46,650","0.54K","-2.18%"
"2021년 09월 28일","48,200","49,100","49,100","47,350","0.01K","-1.03%"
"2021년 09월 27일","48,700","48,650","49,250","48,250","543.60K","0.10%"
"2021년 09월 26일","48,650","48,650","48,650","48,650","-","0.00%"
"2021년 09월 24일","48,650","49,400","49,750","48,600","1.03M","-0.21%"
"2021년 09월 23일","48,750","50,800","50,800","48,700","0.03K","-5.34%"
"2021년 09월 22일","51,500","51,500","51,500","51,500","-","0.00%"
"2021년 09월 17일","51,500","51,500","52,000","51,000","738.06K","-0.19%"
"2021년 09월 16일","51,600","52,700","53,800","51,500","878.60K","-0.77%"
"2021년 09월 15일","52,000","52,600","52,900","51,400","0.10K","-2.07%"
"2021년 09월 14일","53,100","53,700","54,500","53,000","0.42K","-1.67%"
"2021년 09월 13일","54,000","53,300","54,200","52,900","0.11K","1.31%"
"2021년 09월 12일","53,300","53,300","53,300","53,300","-","0.00%"
"2021년 09월 10일","53,300","52,600","53,600","52,500","528.45K","1.72%"
"2021년 09월 09일","52,400","53,500","53,800","52,000","0.02K","-2.78%"
"2021년 09월 08일","53,900","53,400","54,000","52,700","1.85K","1.32%"
"2021년 09월 07일","53,200","51,500","53,500","51,400","6.22K","4.52%"
"2021년 09월 06일","50,900","51,100","51,200","50,500","0.02K","0.00%"
"2021년 09월 05일","50,900","50,900","50,900","50,900","-","0.00%"
"2021년 09월 03일","50,900","50,500","51,200","50,200","374.24K","0.99%"
"2021년 09월 02일","50,400","50,500","51,900","50,100","880.31K","0.60%"
"2021년 09월 01일","50,100","50,300","50,900","49,850","0.00K","-1.76%"
"2021년 08월 31일","51,000","50,300","51,000","49,600","0.07K","1.80%"
"2021년 08월 30일","50,100","49,200","50,600","48,750","0.30K","3.51%"
"2021년 08월 29일","48,400","48,400","48,400","48,400","-","0.00%"
"2021년 08월 27일","48,400","48,000","48,600","47,600","365.58K","0.10%"
"2021년 08월 26일","48,350","48,400","48,800","48,000","446.92K","-0.21%"
"2021년 08월 25일","48,450","48,250","49,350","47,750","0.80K","1.68%"
"2021년 08월 24일","47,650","46,500","47,850","46,500","0.38K","3.59%"
"2021년 08월 23일","46,000","46,400","46,800","45,250","698.99K","0.00%"
"2021년 08월 20일","46,000","46,500","47,600","45,700","1.03M","-1.08%"
"2021년 08월 19일","46,500","49,500","49,650","46,300","0.94K","-5.78%"
"2021년 08월 18일","49,350","49,000","50,000","48,150","688.36K","0.61%"
"2021년 08월 17일","49,050","50,600","50,600","49,050","1.23K","-2.87%"
"2021년 08월 16일","50,500","50,500","50,500","50,500","-","0.00%"
"2021년 08월 13일","50,500","50,900","51,400","49,750","723.60K","0.00%"
"2021년 08월 12일","50,500","51,600","51,900","50,500","0.55K","-1.56%"
"2021년 08월 11일","51,300","51,600","52,500","51,000","806.77K","1.18%"
"2021년 08월 10일","50,700","51,000","51,400","50,500","516.92K","0.20%"
"2021년 08월 09일","50,600","51,500","51,500","50,500","586.46K","-1.75%"
"2021년 08월 08일","51,500","51,500","51,500","51,500","-","0.00%"
"2021년 08월 06일","51,500","51,500","51,900","51,400","414.33K","0.19%"
"2021년 08월 05일","51,400","51,300","52,000","51,100","0.24K","-0.58%"
"2021년 08월 04일","51,700","51,300","52,000","50,800","3.01K","1.57%"
"2021년 08월 03일","50,900","53,300","53,300","50,600","1.56K","-4.68%"
"2021년 08월 02일","53,400","54,700","54,700","52,900","1.13K","-1.11%"
"2021년 08월 01일","54,000","54,000","54,000","54,000","-","0.00%"
"2021년 07월 30일","54,000","53,600","54,900","53,000","1.52M","1.12%"
"2021년 07월 29일","53,400","54,600","54,600","52,600","3.64K","-1.29%"
"2021년 07월 28일","54,100","53,700","54,600","53,100","0.06K","1.31%"
"2021년 07월 27일","53,400","53,100","54,400","52,700","5.32K","2.30%"
"2021년 07월 26일","52,200","52,700","53,300","52,100","0.04K","-0.57%"
"2021년 07월 25일","52,500","52,500","52,500","52,500","-","0.00%"
"2021년 07월 23일","52,500","51,800","53,000","51,400","960.06K","1.74%"
"2021년 07월 22일","51,600","50,000","51,800","50,000","931.57K","4.03%"
"2021년 07월 21일","49,600","50,600","50,700","49,600","0.01K","-0.60%"
"2021년 07월 20일","49,900","49,800","50,400","49,750","886.59K","-1.96%"
"2021년 07월 19일","50,900","51,600","51,700","50,800","0.03K","-2.86%"
"2021년 07월 18일","52,400","52,400","52,400","52,400","-","0.00%"
"2021년 07월 16일","52,400","52,000","52,600","51,400","548.12K","0.00%"
"2021년 07월 15일","52,400","51,900","52,400","51,500","0.63K","0.77%"
"2021년 07월 14일","52,000","52,500","52,500","51,800","1.09K","-1.52%"
"2021년 07월 13일","52,800","53,400","53,400","52,000","0.06K","-0.56%"
"2021년 07월 12일","53,100","52,400","54,000","52,300","1.21M","2.91%"
"2021년 07월 11일","51,600","51,600","51,600","51,600","-","0.00%"
"2021년 07월 09일","51,600","51,800","51,900","50,600","1.10M","-1.90%"
"2021년 07월 08일","52,600","52,600","54,200","52,400","1.10M","0.00%"
"2021년 07월 07일","52,600","53,100","53,700","52,300","0.18K","-1.68%"
"2021년 07월 06일","53,500","54,300","54,500","53,400","1.11K","-1.29%"
"2021년 07월 05일","54,200","54,700","54,800","54,000","0.19K","0.18%"
"2021년 07월 04일","54,100","54,100","54,100","54,100","-","0.00%"
"2021년 07월 02일","54,100","53,600","54,600","53,600","696.33K","1.12%"
"2021년 07월 01일","53,500","53,900","54,100","53,100","0.28K","-0.37%"
