"월","건수","연도","나이"
"8월",1100,"2018",3
"9월",1062,"2018",3
"10월",1109,"2018",3
"11월",927,"2018",3
"12월",797,"2018",3
"합계",11847,"2018",3
"1월",924,"2019",3
"2월",841,"2019",3
"3월",981,"2019",3
"4월",1081,"2019",3
"5월",980,"2019",3
"6월",973,"2019",3
"7월",1231,"2019",3
"8월",1162,"2019",3
"9월",1021,"2019",3
"10월",972,"2019",3
"11월",812,"2019",3
"12월",773,"2019",3
"합계",11751,"2019",3
"1월",928,"2020",3
"2월",849,"2020",3
"3월",918,"2020",3
"4월",843,"2020",3
"5월",864,"2020",3
"6월",866,"2020",3
"7월",985,"2020",3
"8월",1019,"2020",3
"9월",943,"2020",3
"10월",816,"2020",3
"11월",749,"2020",3
"12월",700,"2020",3
"합계",10480,"2020",3
"1월",586,"2016",3
"2월",583,"2016",3
"3월",709,"2016",3
"4월",698,"2016",3
"5월",747,"2016",3
"6월",686,"2016",3
"7월",817,"2016",3
"8월",913,"2016",3
"9월",826,"2016",3
"10월",835,"2016",3
"11월",715,"2016",3
"12월",619,"2016",3
"합계",8734,"2016",3
"1월",605,"2017",3
"2월",617,"2017",3
"3월",771,"2017",3
"4월",821,"2017",3
"5월",855,"2017",3
"6월",782,"2017",3
"7월",1045,"2017",3
"8월",1113,"2017",3
"9월",1040,"2017",3
"10월",982,"2017",3
"11월",812,"2017",3
"12월",733,"2017",3
"합계",10176,"2017",3
"1월",839,"2018",3
"2월",731,"2018",3
"3월",994,"2018",3
"4월",1036,"2018",3
"5월",1087,"2018",3
"6월",1002,"2018",3
"7월",1163,"2018",3
"8월",1100,"2018",3
"9월",1062,"2018",3
"10월",1109,"2018",3
"11월",927,"2018",3
"12월",797,"2018",3
"합계",11847,"2018",3
"1월",924,"2019",3
"2월",841,"2019",3
"3월",981,"2019",3
"4월",1081,"2019",3
"5월",980,"2019",3
"6월",973,"2019",3
"7월",1231,"2019",3
"8월",1162,"2019",3
"9월",1021,"2019",3
"10월",972,"2019",3
"11월",812,"2019",3
"12월",773,"2019",3
"합계",11751,"2019",3
"1월",928,"2020",3
"2월",849,"2020",3
"3월",918,"2020",3
"4월",843,"2020",3
"5월",864,"2020",3
"6월",866,"2020",3
"7월",985,"2020",3
"8월",1019,"2020",3
"9월",943,"2020",3
"10월",816,"2020",3
"11월",749,"2020",3
"12월",700,"2020",3
"합계",10480,"2020",3
"1월",278,"2016",4
"2월",285,"2016",4
"3월",345,"2016",4
"4월",388,"2016",4
"5월",362,"2016",4
"6월",380,"2016",4
"7월",418,"2016",4
"8월",464,"2016",4
"9월",435,"2016",4
"10월",411,"2016",4
"11월",376,"2016",4
"12월",313,"2016",4
"합계",4455,"2016",4
"1월",321,"2017",4
"2월",283,"2017",4
"3월",390,"2017",4
"4월",424,"2017",4
"5월",439,"2017",4
"6월",390,"2017",4
"7월",546,"2017",4
"8월",533,"2017",4
"9월",482,"2017",4
"10월",468,"2017",4
"11월",389,"2017",4
"12월",314,"2017",4
"합계",4979,"2017",4
"1월",339,"2018",4
"2월",311,"2018",4
"3월",439,"2018",4
"4월",441,"2018",4
"5월",418,"2018",4
"6월",441,"2018",4
"7월",490,"2018",4
"8월",498,"2018",4
"9월",476,"2018",4
"10월",494,"2018",4
"11월",445,"2018",4
"12월",301,"2018",4
"합계",5093,"2018",4
"1월",386,"2019",4
"2월",381,"2019",4
"3월",437,"2019",4
"4월",466,"2019",4
"5월",435,"2019",4
"6월",464,"2019",4
"7월",563,"2019",4
"8월",535,"2019",4
"9월",478,"2019",4
"10월",425,"2019",4
"11월",392,"2019",4
"12월",359,"2019",4
"합계",5321,"2019",4
"1월",405,"2020",4
"2월",391,"2020",4
"3월",434,"2020",4
"4월",403,"2020",4
"5월",428,"2020",4
"6월",479,"2020",4
"7월",470,"2020",4
"8월",509,"2020",4
"9월",472,"2020",4
"10월",409,"2020",4
"11월",334,"2020",4
"12월",304,"2020",4
"합계",5038,"2020",4
"1월",347,"2016",5
"2월",357,"2016",5
"3월",397,"2016",5
"4월",364,"2016",5
"5월",391,"2016",5
"6월",436,"2016",5
"7월",431,"2016",5
"8월",508,"2016",5
"9월",461,"2016",5
"10월",445,"2016",5
"11월",356,"2016",5
"12월",292,"2016",5
"1월",312,"2017",5
"2월",310,"2017",5
"3월",392,"2017",5
"4월",464,"2017",5
"5월",464,"2017",5
"6월",458,"2017",5
"7월",547,"2017",5
"8월",568,"2017",5
"9월",547,"2017",5
"10월",477,"2017",5
"11월",406,"2017",5
"12월",321,"2017",5
"1월",336,"2018",5
"2월",326,"2018",5
"3월",434,"2018",5
"4월",448,"2018",5
"5월",485,"2018",5
"6월",502,"2018",5
"7월",510,"2018",5
"8월",545,"2018",5
"9월",469,"2018",5
"10월",469,"2018",5
"11월",417,"2018",5
"12월",305,"2018",5
"1월",347,"2019",5
"2월",336,"2019",5
"3월",425,"2019",5
"4월",459,"2019",5
"5월",523,"2019",5
